# format-version: 1.2	date: 07:02:2020 10:53
name	code	definition	synonyms
transgenic organism evidence used in automatic assertion	ECO:0007465	A type of transgenic organism evidence that is used in an automatic assertion.	
tissue microarray evidence used in automatic assertion	ECO:0007466	A type of tissue microarray evidence that is used in an automatic assertion.	
TACE activity assay evidence used in automatic assertion	ECO:0007467	A type of TACE activity assay evidence that is used in an automatic assertion.	
enzymatic activity assay evidence used in automatic assertion	ECO:0007468	A type of enzyme assay evidence that is used in an automatic assertion.	
surface plasmon resonance evidence used in automatic assertion	ECO:0007469	A type of surface plasmon resonance evidence that is used in an automatic assertion.	
restriction landmark genomic scanning evidence used in automatic assertion	ECO:0007470	A type of restriction landmark genomic scanning evidence that is used in an automatic assertion.	
resonant mirror biosensor evidence used in automatic assertion	ECO:0007471	A type of resonant mirror biosensor evidence that is used in an automatic assertion.	
high-performance liquid chromatography evidence used in automatic assertion	ECO:0007472	A type of high-performance liquid chromatography evidence that is used in an automatic assertion.	
ectopic expression evidence used in automatic assertion	ECO:0007473	A type of ectopic expression evidence that is used in an automatic assertion.	
electrophoretic mobility shift assay evidence used in automatic assertion	ECO:0007474	A type of electrophoretic mobility shift assay evidence that is used in an automatic assertion.	
reverse transcription polymerase chain reaction evidence used in automatic assertion	ECO:0007475	A type of reverse transcription polymerase chain reaction evidence that is used in an automatic assertion.	
in vivo polyADP-ribosylation assay evidence used in automatic assertion	ECO:0007476	A type of in vivo polyADP-ribosylation assay evidence that is used in an automatic assertion.	
DNA dot blot assay evidence used in automatic assertion	ECO:0007477	A type of DNA dot blot assay evidence that is used in an automatic assertion.	
random mutagenesis evidence used in automatic assertion	ECO:0007478	A type of random mutagenesis phenotypic evidence that is used in an automatic assertion.	
biological system reconstruction evidence by experimental evidence from single species used in automatic assertion	ECO:0007479	A type of biological system reconstruction evidence by experimental evidence from single species that is used in an automatic assertion.	
biological system reconstruction evidence by experimental evidence from mixed species used in automatic assertion	ECO:0007480	A type of biological system reconstruction evidence by experimental evidence from mixed species that is used in an automatic assertion.	
biological system reconstruction evidence based on orthology evidence used in automatic assertion	ECO:0007481	A type of biological system reconstruction evidence based on orthology evidence that is used in an automatic assertion.	
biological system reconstruction evidence based on homology evidence used in automatic assertion	ECO:0007482	A type of biological system reconstruction evidence based on homology evidence that is used in an automatic assertion.	
biological system reconstruction evidence based on paralogy evidence used in automatic assertion	ECO:0007483	A type of biological system reconstruction evidence based on paralogy evidence that is used in an automatic assertion.	
biological system reconstruction evidence based on inference from background scientific knowledge used in automatic assertion	ECO:0007484	A type of biological system reconstruction evidence based on inference from background scientific knowledge that is used in an automatic assertion.	
immunogold labelling evidence used in automatic assertion	ECO:0007485	A type of immunogold labelling evidence that is used in an automatic assertion.	
immunolocalization evidence used in automatic assertion	ECO:0007486	A type of immunolocalization evidence that is used in an automatic assertion.	
flow cytometry evidence used in automatic assertion	ECO:0007487	A type of flow cytometry evidence that is used in an automatic assertion.	
enzyme-linked immunoabsorbent assay evidence used in automatic assertion	ECO:0007488	A type of enzyme-linked immunoabsorbent assay evidence that is used in an automatic assertion.	
high throughput mass spectrometry evidence used in automatic assertion	ECO:0007489	A type of high throughput mass spectrometry evidence that is used in an automatic assertion.	
confocal microscopy evidence used in automatic assertion	ECO:0007490	A type of confocal microscopy evidence that is used in an automatic assertion.	
wide-field microscopy evidence used in automatic assertion	ECO:0007491	A type of wide-field microscopy evidence that is used in an automatic assertion.	
immunogold labelling electron microscopy assay evidence used in automatic assertion	ECO:0007492	A type of immunogold labelling electron microscopy assay evidence that is used in an automatic assertion.	
electron microscopy evidence used in automatic assertion	ECO:0007493	A type of electron microscopy evidence that is used in an automatic assertion.	
immunoperoxidase immunolocalization evidence used in automatic assertion	ECO:0007494	A type of immunoperoxidase immunolocalization evidence that is used in an automatic assertion.	
immunoperoxidase immunolocalization electron microscopy evidence used in automatic assertion	ECO:0007495	A type of immunoperoxidase immunolocalization electron microscopy evidence that is used in an automatic assertion.	
immunofluorescence confocal microscopy evidence used in automatic assertion	ECO:0007496	A type of immunofluorescence confocal microscopy evidence that is used in an automatic assertion.	
immunofluorescence evidence used in automatic assertion	ECO:0007497	A type of immunofluorescence evidence that is used in an automatic assertion.	
two-dimensional polyacrylamide gel electrophoresis evidence used in automatic assertion	ECO:0007498	A type of two-dimensional polyacrylamide gel electrophoresis evidence that is used in an automatic assertion.	
alkaline phosphatase reporter gene assay evidence used in automatic assertion	ECO:0007499	A type of alkaline phosphatase reporter gene assay evidence that is used in an automatic assertion.	
beta-galactosidase reporter gene assay evidence used in automatic assertion	ECO:0007500	A type of beta-galactosidase reporter gene assay evidence that is used in an automatic assertion.	LacZ transcript localization evidence used in automatic assertion
chloramphenicol acetyltransferase reporter gene assay evidence used in automatic assertion	ECO:0007501	A type of chloramphenicol acetyltransferase reporter gene assay evidence that is used in an automatic assertion.	
chromatin immunoprecipitation-PCR evidence used in automatic assertion	ECO:0007502	A type of chromatin immunoprecipitation-PCR evidence that is used in an automatic assertion.	
immunoprecipitation evidence used in automatic assertion	ECO:0007503	A type of immunoprecipitation evidence that is used in an automatic assertion.	
copper-phenanthroline footprinting evidence used in automatic assertion	ECO:0007504	A type of copper-phenanthroline footprinting evidence that is used in an automatic assertion.	
nucleic acid binding evidence used in automatic assertion	ECO:0007505	A type of nucleic acid binding evidence that is used in an automatic assertion.	
DNA affinity chromatography evidence used in automatic assertion	ECO:0007506	A type of DNA affinity chromatography evidence that is used in an automatic assertion.	
DNAse footprinting evidence used in automatic assertion	ECO:0007507	A type of DNAse footprinting evidence that is used in an automatic assertion.	
fluorescence anisotropy evidence used in automatic assertion	ECO:0007508	A type of fluorescence anisotropy evidence that is used in an automatic assertion.	
ferric uptake regulator titration assay evidence used in automatic assertion	ECO:0007509	A type of ferric uptake regulator titration assay evidence that is used in an automatic assertion.	
systematic evolution of ligands by exponential amplification evidence used in automatic assertion	ECO:0007510	A type of systematic evolution of ligands by exponential amplification evidence that is used in an automatic assertion.	
glutathione S-transferase pull-down assay evidence used in automatic assertion	ECO:0007511	A type of glutathione S-transferase pull-down assay evidence that is used in an automatic assertion.	
beta-glucuronidase reporter gene assay evidence used in automatic assertion	ECO:0007512	A type of beta-glucuronidase reporter gene assay evidence that is used in an automatic assertion.	
heteronuclear single quantum coherence spectroscopy evidence used in automatic assertion	ECO:0007513	A type of heteronuclear single quantum coherence spectroscopy evidence that is used in an automatic assertion.	
hydroxyl-radical footprinting evidence used in automatic assertion	ECO:0007514	A type of hydroxyl-radical footprinting evidence that is used in an automatic assertion.	
isothermal titration calorimetry evidence used in automatic assertion	ECO:0007515	A type of isothermal titration calorimetry evidence that is used in an automatic assertion.	
luciferase reporter gene assay evidence used in automatic assertion	ECO:0007516	A type of luciferase reporter gene assay evidence that is used in an automatic assertion.	
methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence used in automatic assertion	ECO:0007517	A type of methidiumpropyl-ethylenediaminetetraacetic acid iron (II) footprinting evidence that is used in an automatic assertion.	
northern blot evidence used in automatic assertion	ECO:0007518	A type of northern blot evidence that is used in an automatic assertion.	
methylation interference footprinting evidence used in automatic assertion	ECO:0007519	A type of methylation interference footprinting evidence that is used in an automatic assertion.	premethylation interference footprinting evidence used in automatic assertion
primer extension assay evidence used in automatic assertion	ECO:0007520	A type of primer extension assay evidence that is used in an automatic assertion.	
quantitative polymerase chain reaction evidence used in automatic assertion	ECO:0007521	A type of quantitative polymerase chain reaction evidence that is used in an automatic assertion.	
rapid amplification of cDNA ends polymerase chain reaction evidence used in automatic assertion	ECO:0007522	A type of rapid amplification of cDNA ends polymerase chain reaction evidence that is used in an automatic assertion.	
S1 nuclease protection assay evidence used in automatic assertion	ECO:0007523	A type of S1 nuclease protection assay evidence that is used in an automatic assertion.	
site-directed mutagenesis phenotypic evidence used in automatic assertion	ECO:0007524	A type of site-directed mutagenesis phenotypic evidence that is used in an automatic assertion.	site-directed mutagenesis evidence used in automatic assertion
survival rate analysis evidence used in automatic assertion	ECO:0007525	A type of survival rate analysis evidence that is used in an automatic assertion.	
ultraviolet light footprinting evidence used in automatic assertion	ECO:0007526	A type of ultraviolet light footprinting evidence that is used in an automatic assertion.	
xylE reporter gene assay evidence used in automatic assertion	ECO:0007527	A type of xylE reporter gene assay evidence that is used in an automatic assertion.	
ad-hoc qualitative phenotype observation evidence used in automatic assertion	ECO:0007528	A type of ad-hoc qualitative phenotype observation evidence that is used in an automatic assertion.	
ad-hoc quantitative phenotype observation evidence used in automatic assertion	ECO:0007529	A type of ad-hoc quantitative phenotype observation evidence that is used in an automatic assertion.	
cell transfection experiment evidence used in automatic assertion	ECO:0007530	A type of cell transfection experiment evidence that is used in an automatic assertion.	
yeast 2-hybrid evidence used in automatic assertion	ECO:0007531	A type of yeast 2-hybrid evidence that is used in an automatic assertion.	
Cya fusion reporter assay evidence used in automatic assertion	ECO:0007532	A type of Cya fusion reporter assay evidence that is used in an automatic assertion.	
super-resolution microscopy evidence used in automatic assertion	ECO:0007533	A type of super-resolution microscopy evidence that is used in an automatic assertion.	
fractionation evidence used in automatic assertion	ECO:0007534	A type of fractionation evidence that is used in an automatic assertion.	
electrophysiology assay evidence used in automatic assertion	ECO:0007535	A type of electrophysiology assay evidence that is used in an automatic assertion.	
mRNA interactome capture evidence used in automatic assertion	ECO:0007536	A type of mRNA interactome capture evidence that is used in an automatic assertion.	
patch-clamp recording evidence used in automatic assertion	ECO:0007537	A type of patch-clamp recording evidence that is used in an automatic assertion.	
whole-cell patch-clamp recording evidence used in automatic assertion	ECO:0007538	A type of whole-cell patch-clamp recording evidence that is used in an automatic assertion.	
author statement from published clinical study used in automatic assertion	ECO:0007539	A type of author statement from published clinical study that is used in an automatic assertion.	traceable author statement from published clinical study used in automatic assertion
inference based on individual clinical experience used in automatic assertion	ECO:0007540	A type of inference based on individual clinical experience that is used in an automatic assertion.	
biofilm formation assay evidence used in automatic assertion	ECO:0007541	A type of biofilm formation assay evidence that is used in an automatic assertion.	
microtiter plate biofilm assay evidence used in automatic assertion	ECO:0007542	A type of microtiter plate biofilm assay evidence that is used in an automatic assertion.	
air-liquid interface assay evidence used in automatic assertion	ECO:0007543	A type of air-liquid interface assay evidence that is used in an automatic assertion.	
colony biofilm assay evidence used in automatic assertion	ECO:0007544	A type of colony biofilm assay evidence that is used in an automatic assertion.	
Kadouri drip-fed biofilm assay evidence used in automatic assertion	ECO:0007545	A type of Kadouri drip-fed biofilm assay evidence that is used in an automatic assertion.	
co-immunoprecipitation evidence used in automatic assertion	ECO:0007546	A type of co-immunoprecipitation evidence that is used in an automatic assertion.	
optogenetic evidence used in automatic assertion	ECO:0007547	A type of optogenetic evidence that is used in an automatic assertion.	
fluorescent sensor evidence used in automatic assertion	ECO:0007548	A type of fluorescent sensor evidence that is used in an automatic assertion.	
genetically encoded fluorescent sensor evidence used in automatic assertion	ECO:0007549	A type of genetically encoded fluorescent sensor evidence that is used in an automatic assertion.	
genetically encoded fluorescent electrophysiology assay evidence used in automatic assertion	ECO:0007550	A type of genetically encoded fluorescent electrophysiology assay evidence that is used in an automatic assertion.	
genetically encoded fluorescent ion concentration sensor assay evidence used in automatic assertion	ECO:0007551	A type of genetically encoded fluorescent ion concentration sensor assay evidence that is used in an automatic assertion.	
cell fractionation evidence used in automatic assertion	ECO:0007552	A type of cell fractionation evidence that is used in an automatic assertion.	
extracellular recording evidence used in automatic assertion	ECO:0007553	A type of extracellular recording evidence that is used in an automatic assertion.	
single-unit extracellular recording evidence used in automatic assertion	ECO:0007554	A type of single-unit extracellular recording evidence that is used in an automatic assertion.	
field potential recording evidence used in automatic assertion	ECO:0007555	A type of field potential recording evidence that is used in an automatic assertion.	
anti-sense experiment evidence used in automatic assertion	ECO:0007556	A type of anti-sense experiment evidence that is used in an automatic assertion.	
morpholino experiment evidence used in automatic assertion	ECO:0007557	A type of morpholino experiment evidence that is used in an automatic assertion.	
RNAi evidence used in automatic assertion	ECO:0007558	A type of RNAi evidence that is used in an automatic assertion.	
pharmacological assay evidence used in automatic assertion	ECO:0007559	A type of pharmacological assay evidence that is used in an automatic assertion.	
immunofluorescence wide-field microscopy evidence used in automatic assertion	ECO:0007560	A type of immunofluorescence wide-field microscopy evidence that is used in an automatic assertion.	
wide-field fluorescence microscopy evidence used in automatic assertion	ECO:0007561	A type of wide-field fluorescence microscopy evidence that is used in an automatic assertion.	
over expression analysis evidence used in automatic assertion	ECO:0007562	A type of over expression analysis evidence that is used in an automatic assertion.	
cell-free assay evidence used in automatic assertion	ECO:0007563	A type of cell-free assay evidence that is used in an automatic assertion.	
fluorescence recovery after photobleaching evidence used in automatic assertion	ECO:0007564	A type of fluorescence recovery after photobleaching evidence that is used in an automatic assertion.	
immuno-labelling electron microscopy evidence used in automatic assertion	ECO:0007565	A type of immuno-labelling electron microscopy evidence that is used in an automatic assertion.	
immunofluorescence super resolution microscopy evidence used in automatic assertion	ECO:0007566	A type of immunofluorescence super resolution microscopy evidence that is used in an automatic assertion.	
co-purification evidence used in automatic assertion	ECO:0007567	A type of co-purification evidence that is used in an automatic assertion.	
yeast one-hybrid evidence used in automatic assertion	ECO:0007568	A type of yeast one-hybrid evidence that is used in an automatic assertion.	
split-ubiquitin assay evidence used in automatic assertion	ECO:0007569	A type of split-ubiquitin assay evidence that is used in an automatic assertion.	
far-Western blotting evidence used in automatic assertion	ECO:0007570	A type of far-Western blotting evidence that is used in an automatic assertion.	
affinity chromatography evidence used in automatic assertion	ECO:0007571	A type of affinity chromatography evidence that is used in an automatic assertion.	
ribohomopolymer binding assay evidence used in automatic assertion	ECO:0007572	A type of ribohomopolymer binding assay evidence that is used in an automatic assertion.	
protein:ion binding evidence used in automatic assertion	ECO:0007573	A type of protein:ion binding evidence that is used in an automatic assertion.	
Southwestern blot evidence used in automatic assertion	ECO:0007574	A type of Southwestern blot evidence that is used in an automatic assertion.	
Northwestern blot evidence used in automatic assertion	ECO:0007575	A type of Northwestern blot evidence that is used in an automatic assertion.	
bacterial one-hybrid evidence used in automatic assertion	ECO:0007576	A type of bacterial one-hybrid evidence that is used in an automatic assertion.	
protein-binding microarray evidence used in automatic assertion	ECO:0007577	A type of protein-binding microarray evidence that is used in an automatic assertion.	
functional complementation evidence used in automatic assertion	ECO:0007578	A type of functional complementation evidence that is used in an automatic assertion.	
transgenic rescue experiment evidence used in automatic assertion	ECO:0007579	A type of transgenic rescue experiment evidence that is used in an automatic assertion.	
transient rescue experiment evidence used in automatic assertion	ECO:0007580	A type of transient rescue experiment evidence that is used in an automatic assertion.	
suppressor/enhancer interaction phenotypic evidence used in automatic assertion	ECO:0007581	A type of suppressor/enhancer interaction phenotypic evidence that is used in an automatic assertion.	suppressor/enhancer interaction evidence used in automatic assertion
double mutant phenotypic evidence used in automatic assertion	ECO:0007582	A type of double mutant phenotypic evidence that is used in an automatic assertion.	double mutant phenotype evidence used in automatic assertion
epistatic interaction phenotypic evidence used in automatic assertion	ECO:0007583	A type of epistatic interaction phenotypic evidence that is used in an automatic assertion.	epistatic interaction evidence used in automatic assertion
functional complementation in heterologous system evidence used in automatic assertion	ECO:0007584	A type of functional complementation in heterologous system evidence that is used in an automatic assertion.	
temperature-sensitive mutant phenotypic evidence used in automatic assertion	ECO:0007585	A type of temperature-sensitive mutant phenotypic evidence that is used in an automatic assertion.	temperature-sensitive mutant phenotype evidence used in automatic assertion
recessive mutant phenotype evidence used in automatic assertion	ECO:0007586	A type of recessive mutant phenotype evidence that is used in an automatic assertion.	
high throughput mutant phenotypic evidence used in automatic assertion	ECO:0007587	A type of high throughput mutant phenotypic evidence that is used in an automatic assertion.	high throughput mutant phenotype evidence used in automatic assertion
high throughput genetic interaction phenotypic evidence used in automatic assertion	ECO:0007588	A type of high throughput genetic interaction phenotypic evidence that is used in an automatic assertion.	high throughput genetic interaction evidence used in automatic assertion
high throughput direct assay evidence used in automatic assertion	ECO:0007589	A type of high throughput direct assay evidence that is used in an automatic assertion.	
high throughput expression pattern evidence used in automatic assertion	ECO:0007590	A type of high throughput expression pattern evidence that is used in an automatic assertion.	
radioligand binding assay evidence used in automatic assertion	ECO:0007591	A type of radioligand binding assay evidence that is used in an automatic assertion.	
combinatorial experimental and author inference evidence used in automatic assertion	ECO:0007592	A type of combinatorial evidence from author knowledge and experimental evidence that is used in an automatic assertion.	combinatorial evidence from author knowledge and experimental evidence used in automatic assertion
combinatorial experimental and curator inference evidence used in automatic assertion	ECO:0007593	A type of combinatorial evidence from curator knowledge and experimental evidence that is used in an automatic assertion.	combinatorial evidence from curator knowledge and experimental evidence used in automatic assertion
voltammetry evidence used in automatic assertion	ECO:0007594	A type of voltammetry evidence that is used in an automatic assertion.	
photoconversion evidence used in automatic assertion	ECO:0007595	A type of photoconversion evidence that is used in an automatic assertion.	
agglutination test evidence used in automatic assertion	ECO:0007596	A type of agglutination test evidence that is used in an automatic assertion.	
slide agglutination test evidence used in automatic assertion	ECO:0007597	A type of slide agglutination test evidence that is used in an automatic assertion.	
direct Coombs test evidence used in automatic assertion	ECO:0007598	A type of direct Coombs test evidence that is used in an automatic assertion.	
indirect Coombs test evidence used in automatic assertion	ECO:0007599	A type of indirect Coombs test evidence that is used in an automatic assertion.	
direct hemagglutination assay evidence used in automatic assertion	ECO:0007600	A type of direct hemagglutination assay evidence that is used in an automatic assertion.	
viral hemagglutination inhibition assay evidence used in automatic assertion	ECO:0007601	A type of viral hemagglutination inhibition assay evidence that is used in an automatic assertion.	
compement fixation assay evidence used in automatic assertion	ECO:0007602	A type of compement fixation assay evidence that is used in an automatic assertion.	
neutralization test assay evidence used in automatic assertion	ECO:0007603	A type of neutralization test assay evidence that is used in an automatic assertion.	
copper transport assay evidence used in automatic assertion	ECO:0007604	A type of copper transport assay evidence that is used in an automatic assertion.	
5-cyano-2,3-ditolyl tetrazolium chloride staining evidence used in automatic assertion	ECO:0007605	A type of 5-cyano-2,3-ditolyl tetrazolium chloride staining evidence that is used in an automatic assertion.	
plaque assay evidence used in automatic assertion	ECO:0007606	A type of plaque assay evidence that is used in an automatic assertion.	
epifluorescence microscopy evidence used in automatic assertion	ECO:0007607	A type of epifluorescence microscopy evidence that is used in an automatic assertion.	
transmission electron microscopy evidence used in automatic assertion	ECO:0007608	A type of transmission electron microscopy evidence that is used in an automatic assertion.	
scanning electron microscopy evidence used in automatic assertion	ECO:0007609	A type of scanning electron microscopy evidence that is used in an automatic assertion.	
time-lapsed microscopy evidence used in automatic assertion	ECO:0007610	A type of time-lapsed microscopy evidence that is used in an automatic assertion.	
phase contrast microscopy evidence used in automatic assertion	ECO:0007611	A type of phase contrast microscopy evidence that is used in an automatic assertion.	
transmitted light brightfied mircoscopy evidence used in automatic assertion	ECO:0007612	A type of transmitted light brightfied mircoscopy evidence that is used in an automatic assertion.	
koehler illumination microscopy evidence used in automatic assertion	ECO:0007613	A type of koehler illumination microscopy evidence that is used in an automatic assertion.	
differential interference contrast microscopy evidence used in automatic assertion	ECO:0007614	A type of differential interference contrast microscopy evidence that is used in an automatic assertion.	
extended field laser confocal microscopy evidence used in automatic assertion	ECO:0007615	A type of extended field laser confocal microscopy evidence that is used in an automatic assertion.	
confocal laser scanning microscopy evidence used in automatic assertion	ECO:0007616	A type of confocal laser scanning microscopy evidence that is used in an automatic assertion.	
light scattering assay evidence used in automatic assertion	ECO:0007617	A type of light scattering assay evidence that is used in an automatic assertion.	
dynamic light scattering assay evidence used in automatic assertion	ECO:0007618	A type of dynamic light scattering assay evidence that is used in an automatic assertion.	
static light scattering assay evidence used in automatic assertion	ECO:0007619	A type of static light scattering assay evidence that is used in an automatic assertion.	
colony papillation assay phenotypic evidence used in automatic assertion	ECO:0007620	A type of colony papillation assay phenotypic evidence that is used in an automatic assertion.	colony papillation assay evidence used in automatic assertion
crystal violet staining evidence used in automatic assertion	ECO:0007621	A type of crystal violet staining evidence that is used in an automatic assertion.	
flow cell biofilm assay evidence used in automatic assertion	ECO:0007622	A type of flow cell biofilm assay evidence that is used in an automatic assertion.	
bacterial 2-hybrid assay evidence used in automatic assertion	ECO:0007623	A type of bacterial 2-hybrid assay evidence that is used in an automatic assertion.	
phenomic profiling assay evidence used in automatic assertion	ECO:0007624	A type of phenomic profiling assay evidence that is used in an automatic assertion.	
colony morphology phenotypic evidence used in automatic assertion	ECO:0007625	A type of colony morphology phenotypic evidence that is used in an automatic assertion.	colony morphology evidence used in automatic assertion
colony color phenotypic evidence used in automatic assertion	ECO:0007626	A type of colony color phenotypic evidence that is used in an automatic assertion.	colony color evidence used in automatic assertion
colony size phenotypic evidence used in automatic assertion	ECO:0007627	A type of colony size phenotypic evidence that is used in an automatic assertion.	colony size evidence used in automatic assertion
zone of inhibition evidence used in automatic assertion	ECO:0007628	A type of zone of inhibition evidence that is used in an automatic assertion.	
Etest evidence used in automatic assertion	ECO:0007629	A type of Etest evidence that is used in an automatic assertion.	
ribosome profiling evidence used in automatic assertion	ECO:0007630	A type of ribosome profiling evidence that is used in an automatic assertion.	
computational inference used in manual assertion	ECO:0007631	A type of evidence based on computational logical inference that is used in a manual assertion.	evidence based on computational logical inference used in manual assertion
transcriptional activation assay evidence used in manual assertion	ECO:0007632	A type of transcriptional activation assay evidence that is used in a manual assertion.	
transcriptional activation assay evidence used in automatic assertion	ECO:0007633	A type of transcriptional activation assay evidence that is used in an automatic assertion.	
experimental phenotypic evidence used in manual assertion	ECO:0007634	A type of experimental phenotypic evidence that is used in a manual assertion.	
experimental phenotypic evidence used in automatic assertion	ECO:0007635	A type of experimental phenotypic evidence that is used in an automatic assertion.	
curator inference from database	ECO:0007636	A type of curator inference from authoritative resource based on information located in a queryable database and is optimized for computers.	
curator inference from encyclopedia	ECO:0007637	A type of curator inference from published work where the reference is to an entry in a compendium that provides summarized information on a subject.	
curator inference from Wikipedia	ECO:0007638	A type of curator inference from encyclopedia where the reference is to a Wikipedia article.	
curator inference from Britannica	ECO:0007639	A type of curator inference from encyclopedia where the reference is to an Encyclopedia Britannica article.	
curator inference from MedlinePlus encyclopedia	ECO:0007640	A type of curator inference from encyclopedia in which the reference is to an article in the National Library of Medicine's MedLinePlus encyclopedia.	
curator inference from dictionary	ECO:0007641	A type of curator inference from published work in which the entry comes from a collection of words with definitions, usages, pronounciations, and more.	
curator inference from Oxford Dictionary	ECO:0007642	A type of curator inference from dictionary in which the reference is to an entry in the Oxford Dictionaries.	
curator inference from Merriam-Webster Dictionary	ECO:0007643	A type of curator inference from dictionary in which the reference is to an entry in the Merriam-Webster Dictionary.	
curator inference from MedlinePlus dictionary	ECO:0007644	A type of curator inference from dictionary in which the reference is to an entry in the National Library of Medicine's MedLinePlus dictionary.	
curator inference from journal publication	ECO:0007645	A type of curator inference from published work reporting on research findings.	
curator inference from book	ECO:0007646	A type of curator inference from published work based on a book, which may be a reference to a URL (for ebooks) or a DOI.	
curator inference from authoritative source	ECO:0007647	A type of curator inference that is from what is generally considered an authoritative source on the topic, including model organism databases, newspaper articles, books, journal publications, etc.	
manually integrated combinatorial computational evidence	ECO:0007648	A type of manually integrated combinatorial evidence in which two or more distinct types of computational evidence are integrated manually.	
manually integrated combinatorial computational evidence used in manual assertion	ECO:0007649	A type of manually integrated combinatorial computational evidence that is used in a manual assertion.	
manually integrated combinatorial computational evidence used in automatic assertion	ECO:0007650	A type of manually integrated combinatorial computational evidence that is used in an automatic assertion.	
automatically integrated combinatorial computational evidence	ECO:0007651	A type of automatically integrated combinatorial evidence in which two or more distinct types of computational evidence are integrated automatically.	
automatically integrated combinatorial computational evidence used in manual assertion	ECO:0007652	A type of automatically integrated combinatorial computational evidence that is used in a manual assertion.	
automatically integrated combinatorial computational evidence used in automatic assertion	ECO:0007653	A type of automatically integrated combinatorial computational evidence that is used in an automatic assertion.	
combinatorial experimental evidence	ECO:0007654	A type of combinatorial evidence in which two or more distinct types of experimental evidence are integrated.	
manually integrated combinatorial experimental evidence	ECO:0007655	A type of manually integrated combinatorial evidence in which two or more distinct types of experimental evidence are integrated manually.	
manually integrated combinatorial experimental evidence used in manual assertion	ECO:0007656	A type of manually integrated combinatorial experimental evidence that is used in a manual assertion.	
manually integrated combinatorial experimental evidence used in automatic assertion	ECO:0007657	A type of manually integrated combinatorial experimental evidence that is used in an automatic assertion.	
automatically integrated combinatorial experimental evidence	ECO:0007658	A type of automatically integrated combinatorial evidence in which two or more distinct types of experimental evidence are integrated automatically.	
automatically integrated combinatorial experimental evidence used in manual assertion	ECO:0007659	A type of automatically integrated combinatorial experimental evidence that is used in a manual assertion.	
automatically integrated combinatorial experimental evidence used in automatic assertion	ECO:0007660	A type of automatically integrated combinatorial experimental evidence that is used in an automatic assertion.	
combinatorial computational and experimental evidence	ECO:0007661	A type of combinatorial evidence in which at least one line of experimental evidence and at least one line of computational evidence have been integrated.	
manually integrated combinatorial computational and experimental evidence	ECO:0007662	A type of manually integrated combinatorial evidence in which at least one line of experimental evidence and at least one line of computational evidence have been integrated manually.	
manually integrated combinatorial computational and experimental evidence used in manual assertion	ECO:0007663	A type of manually integrated combinatorial computational and experimental evidence that is used in a manual assertion.	
manually integrated combinatorial computational and experimental evidence used in automatic assertion	ECO:0007664	A type of manually integrated combinatorial computational and experimental evidence that is used in an automatic assertion.	
automatically integrated combinatorial computational and experimental evidence	ECO:0007665	A type of automatically integrated combinatorial evidence in which at least one line of experimental evidence and at least one line of computational evidence have been integrated automatically.	
automatically integrated combinatorial computational and experimental evidence used in manual assertion	ECO:0007666	A type of automatically integrated combinatorial computational and experimental evidence that is used in a manual assertion.	
automatically integrated combinatorial computational and experimental evidence used in automatic assertion	ECO:0007667	A type of automatically integrated combinatorial computational and experimental evidence that is used in an automatic assertion.	
computational evidence used in manual assertion	ECO:0007668	A type of computational evidence that is used in a manual assertion.	
computational evidence used in automatic assertion	ECO:0007669	A type of computational evidence that is used in an automatic assertion.	
computational evidence	ECO:0007672	A type of evidence in which data are produced, and/or generated, and/or analyzed on a computer.	in silico evidence
automatically integrated combinatorial evidence	ECO:0007673	A type of combinatorial evidence in which at least two distinct types of evidence have been integrated automatically.	
manually integrated combinatorial evidence	ECO:0007674	A type of combinatorial evidence in which at least two distinct types of evidence have been integrated manually.	
manually integrated combinatorial evidence used in manual assertion	ECO:0007675	A type of manually integrated combinatorial evidence that is used in a manual assertion.	
manually integrated combinatorial evidence used in automatic assertion	ECO:0007676	A type of manually integrated combinatorial evidence that is used in an automatic assertion.	
combinatorial computational evidence	ECO:0007677	A type of combinatorial evidence in which at least two distinct types of computational evidence have been integrated.	
combinatorial computational evidence used in manual assertion	ECO:0007678	A type of combinatorial computational evidence that is used in a manual assertion.	
combinatorial computational evidence used in automatic assertion	ECO:0007679	A type of combinatorial computational evidence that is used in an automatic assertion.	
chromatography evidence used in manual assertion	ECO:0007680	A type of chromatography evidence that is used in a manual assertion.	
chromatography evidence used in automatic assertion	ECO:0007681	A type of chromatography evidence that is used in an automatic assertion.	
reporter gene assay evidence used in manual assertion	ECO:0007682	A type of reporter gene assay evidence that is used in a manual assertion.	
protein separation evidence used in manual assertion	ECO:0007684	A type of protein separation evidence that is used in a manual assertion.	
substance quantification evidence used in manual assertion	ECO:0007685	A type of substance quantification evidence that is used in a manual assertion.	
voltage clamp recording evidence used in manual assertion	ECO:0007686	A type of voltage clamp recording evidence that is used in a manual assertion.	
protein kinase assay evidence used in manual assertion	ECO:0007687	A type of protein kinase assay evidence that is used in a manual assertion.	
gel electrophoresis evidence used in manual assertion	ECO:0007688	A type of gel electrophoresis evidence that is used in a manual assertion.	
sodium dodecyl sulfate polyacrylamide gel electrophoresis evidence used in manual assertion	ECO:0007689	A type of sodium dodecyl sulfate polyacrylamide gel electrophoresis evidence that is used in a manual assertion.	
ex vivo assay evidence used in manual assertion	ECO:0007690	A type of ex vivo assay evidence that is used in a manual assertion.	
